localminute,dataid,meter_value
2015-10-01 00:00:10-05,739,88858
2015-10-01 00:00:13-05,8890,197164
2015-10-01 00:00:20-05,6910,179118
2015-10-01 00:00:22-05,3635,151318
2015-10-01 00:00:22-05,1507,390354
2015-10-01 00:00:29-05,5810,97506
2015-10-01 00:01:00-05,484,99298
2015-10-01 00:01:18-05,6910,179118
2015-10-01 00:01:34-05,6910,179118
2015-10-01 00:01:38-05,5810,97506
2015-10-01 00:01:43-05,4352,218216
2015-10-01 00:01:46-05,484,99298
2015-10-01 00:01:56-05,1718,161076
2015-10-01 00:01:58-05,1714,147048
2015-10-01 00:02:15-05,9849,33632
2015-10-01 00:02:16-05,5131,104132
2015-10-01 00:02:18-05,6412,133016
2015-10-01 00:02:20-05,7429,132644
2015-10-01 00:02:21-05,1507,390354
2015-10-01 00:02:22-05,871,106464
2015-10-01 00:02:28-05,1086,83334
2015-10-01 00:02:29-05,1589,193922
2015-10-01 00:02:37-05,8156,251818
2015-10-01 00:02:41-05,9631,108348
2015-10-01 00:02:55-05,5403,112902
2015-10-01 00:02:57-05,4447,88648
2015-10-01 00:03:02-05,2034,72376
2015-10-01 00:03:40-05,5275,156990
2015-10-01 00:03:56-05,1718,161076
2015-10-01 00:04:11-05,7794,433360
2015-10-01 00:04:18-05,2034,72376
2015-10-01 00:04:36-05,7287,221038
2015-10-01 00:04:54-05,871,106464
2015-10-01 00:05:16-05,484,99298
2015-10-01 00:05:18-05,2034,72376
2015-10-01 00:05:42-05,6910,179118
2015-10-01 00:06:32-05,4296,168928
2015-10-01 00:06:36-05,9639,211656
2015-10-01 00:07:11-05,7794,433360
2015-10-01 00:07:13-05,739,88858
2015-10-01 00:07:26-05,7017,375932
2015-10-01 00:07:30-05,484,99298
2015-10-01 00:07:37-05,5810,97506
2015-10-01 00:07:38-05,252,329214
2015-10-01 00:07:38-05,8156,251818
2015-10-01 00:07:49-05,6412,133016
2015-10-01 00:07:51-05,9639,211656
2015-10-01 00:07:57-05,484,99298
2015-10-01 00:08:04-05,8829,155850
2015-10-01 00:08:13-05,94,116642
2015-10-01 00:08:13-05,1086,83334
2015-10-01 00:08:15-05,871,106464
2015-10-01 00:08:20-05,7287,221038
2015-10-01 00:08:42-05,6910,179118
2015-10-01 00:09:17-05,871,106464
2015-10-01 00:09:17-05,5131,104132
2015-10-01 00:09:18-05,9849,33632
2015-10-01 00:09:43-05,4352,218216
2015-10-01 00:09:44-05,1086,83334
2015-10-01 00:09:47-05,2034,72376
2015-10-01 00:09:50-05,3039,133640
2015-10-01 00:09:58-05,5403,112902
2015-10-01 00:09:59-05,9121,193610
2015-10-01 00:10:20-05,7741,271144
2015-10-01 00:10:28-05,739,88858
2015-10-01 00:10:33-05,7919,289208
2015-10-01 00:10:52-05,3039,133640
2015-10-01 00:10:58-05,1086,83334
2015-10-01 00:11:04-05,6412,133016
2015-10-01 00:11:36-05,9639,211656
2015-10-01 00:11:45-05,7674,265070
2015-10-01 00:11:46-05,7030,141672
2015-10-01 00:12:05-05,4732,183834
2015-10-01 00:12:12-05,7794,433360
2015-10-01 00:12:23-05,3635,151318
2015-10-01 00:12:44-05,370,87880
2015-10-01 00:12:48-05,2034,72376
2015-10-01 00:12:51-05,739,88858
2015-10-01 00:13:16-05,5131,104132
2015-10-01 00:14:14-05,9295,157556
2015-10-01 00:14:20-05,3577,172074
2015-10-01 00:14:26-05,222,612262
2015-10-01 00:14:28-05,2449,171120
2015-10-01 00:14:44-05,35,93470
2015-10-01 00:14:45-05,1697,266172
2015-10-01 00:15:06-05,9134,230534
2015-10-01 00:15:07-05,4767,123020
2015-10-01 00:15:12-05,5785,164280
2015-10-01 00:15:15-05,7739,149758
2015-10-01 00:15:16-05,5131,104132
2015-10-01 00:15:17-05,7117,211820
2015-10-01 00:16:02-05,5193,149804
2015-10-01 00:16:04-05,6412,133016
2015-10-01 00:16:05-05,739,88858
2015-10-01 00:16:18-05,3367,311094
2015-10-01 00:16:59-05,1589,193922
2015-10-01 00:17:06-05,1507,390354
2015-10-01 00:17:07-05,739,88858
2015-10-01 00:17:11-05,8467,86998